name,image
Beet ,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT8Mwr2TEnhOJIbEzRvEf_Td0QUzEUpp98o1LBrma8LcnVIHIRP
Brussels sprout,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5cbbc8bd-9e81-4277-8bcf-e2cb4957af06.jpg
Cabbage,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d5337926-0c8d-4b9f-af1f-b2e92f16d55d.jpg
Celery,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8a94a65d-0aa9-4d25-81da-7313fce0dc66.jpg
Corn ,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_dc017052-bf42-42be-a17f-2d076cc874b5.jpeg
Kale,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0a2b3f97-2283-4ff6-be41-f3e88ca7d029.jpg
Lettuce,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1bf99f58-aa25-43cc-9895-abe6e68ba779.jpg
Spinach,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fc3f83db-2cfa-4d8b-9d11-72c87013e3f8.jpg
Mustard ,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ab940289-6a2b-49e9-a4e7-2953fd6db576.jpg
Onion,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bd6e7f09-f4fe-44f9-96c9-fab317f09644.jpg
Garlic,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_51e895c9-b80c-4fec-8f00-a821200d1430.jpg
Tomato,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_68648be0-a04f-47ef-85cf-b66dc31f7e07.jpg
Avocado,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_670662b7-080f-41a4-934b-2c0bc6a821a6.jpg
Bell pepper,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e2906411-ebb5-4848-a2fc-89728741fb6f.jpg
Cucumber,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_98d57db7-0e4f-495c-8f53-2723a3f809dd.jpg
Eggplant,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_342b0fb1-7d54-488c-a536-853b2445df9d.jpg
Olive ,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQei1Bkq1VgInajDmEX0isLZfVIxGdrdka9USA-2AD9eu76z1AtQQ
Pumpkin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqrTz1G4Ga3gIMGoEAOazk07UqH1ss4vWUjpC-rxHtTq2s847_
